,city_state_country,geopy location,coordinates
5487,"Deering, NH, USA","Deering, Hillsborough County, New Hampshire, United States","(43.073402, -71.845093)"
5488,"Weirs Beach, NH, USA","Weirs Beach, Interlaken Park, Laconia, Belknap County, New Hampshire, 03247, United States","(43.6089647, -71.4606288)"
5489,"Temple, NH, USA","Temple, Hillsborough County, New Hampshire, 03084, United States","(42.8185392, -71.8514103)"
5490,"Hampton Falls, NH, USA","Hampton Falls, Rockingham County, New Hampshire, 03844, United States","(42.9280119, -70.88806837480472)"
5491,"Salisbury, NH, USA","Salisbury, Merrimack County, New Hampshire, 03268, United States","(43.380099, -71.717377)"
5492,"Gilmanton, NH, USA","Gilmanton, Belknap County, New Hampshire, United States","(43.425497, -71.414566)"
5493,"Gilmanton Iron Works, NH, USA","Gilmanton Iron Works Library, 10, Elm Street, Gilmanton Ironworks, Gilmanton, Belknap County, New Hampshire, 03837, United States","(43.4174428, -71.2966424)"
5494,"Bethlehem, NH, USA","Bethlehem, Grafton County, New Hampshire, 03574, United States","(44.2804901, -71.6867729)"
5495,"Rumney, NH, USA","Rumney, Grafton County, New Hampshire, 03266, United States","(43.805792, -71.81282)"
5496,"Raymond, NH, USA","Raymond, Rockingham County, New Hampshire, 03077, United States","(43.0361961, -71.1833951)"
5497,"Newbury, NH, USA","Newbury, Merrimack County, New Hampshire, 03255, United States","(43.3213132, -72.0362956)"
5498,"Berlin, NH, USA","Berlin, Coos County, New Hampshire, 03570, United States","(44.4688795, -71.1836547)"
5499,"Hancock, NH, USA","Hancock, Hillsborough County, New Hampshire, 03449, United States","(42.9728594, -71.9798028)"
5500,"South Hampton, NH, USA","South Hampton, Rockingham County, New Hampshire, United States","(42.8809229, -70.9625559)"
5501,"Wakefield, NH, USA","Wakefield, Carroll County, New Hampshire, United States","(43.5685871, -71.0297823)"
5502,"Pittsburg, NH, USA","Pittsburg, Coos County, New Hampshire, 03592, United States","(45.05121, -71.391907)"
5503,"Stoddard, NH, USA","Stoddard, Cheshire County, New Hampshire, 03464, United States","(43.078919, -72.114944)"
5504,"Newfields, NH, USA","Newfields, Rockingham County, New Hampshire, 03856, United States","(43.0370316, -70.9383906)"
5505,"W. Milan, NH, USA","West Milan, Milan, Coos County, New Hampshire, United States","(44.5990784, -71.3038442)"
5506,"Monroe, NH, USA","Monroe, Grafton County, New Hampshire, 03771, United States","(44.2610074, -72.05495)"
5507,"Sutton, NH, USA","Sutton, Merrimack County, New Hampshire, United States","(43.334668, -71.952209)"
5508,"Andover, NH, USA","Andover, Merrimack County, New Hampshire, United States","(43.4366616, -71.8197481)"
5509,"Tilton, NH, USA","Tilton, Belknap County, New Hampshire, United States","(43.44245, -71.588974)"
5510,"Grafton, NH, USA","Grafton, Grafton County, New Hampshire, 03240, United States","(43.562979, -71.946716)"
5511,"Laconia, NH, USA","Laconia, Belknap County, New Hampshire, 03246, United States","(43.5278546, -71.470351)"
5512,"Goshen, NH, USA","Goshen, Sullivan County, New Hampshire, 03752, United States","(43.301196, -72.147903)"
5513,"Wilmot, NH, USA","Wilmot, Merrimack County, New Hampshire, United States","(43.451922, -71.913757)"
5514,"Hopkinton, NH, USA","Hopkinton, Merrimack County, New Hampshire, 03229, United States","(43.191661, -71.675491)"
5515,"Cornish, NH, USA","Cornish, Sullivan County, New Hampshire, United States","(43.4646175, -72.3689049)"
5516,"Bennington, NH, USA","Bennington, Hillsborough County, New Hampshire, 03442, United States","(43.0031371, -71.924524)"
5517,"Hinsdale, NH, USA","Hinsdale, Cheshire County, New Hampshire, 03451, United States","(42.7861936, -72.4864773)"
5518,"Barnstead, NH, USA","Barnstead, Belknap County, New Hampshire, United States","(43.334168, -71.29303)"
5519,"Plaistow, NH, USA","Plaistow, Duston Avenue, Plastow, Rockingham County, New Hampshire, 03865, United States","(42.839663349999995, -71.0954605)"
5520,"Bath, NH, USA","Bath, Grafton County, New Hampshire, 03740, United States","(44.1673526, -71.9654925)"
5521,"Croydon, NH, USA","Croydon, Sullivan County, New Hampshire, 03754, United States","(43.450925, -72.163696)"
5522,"Groveton, NH, USA","Groveton, Northumberland, Coos County, New Hampshire, United States","(44.5989641, -71.510912)"
5523,"Bridgewater, NH, USA","Bridgewater, Grafton County, New Hampshire, United States","(43.63856, -71.736603)"
5524,"Unity, NH, USA","Unity, Sullivan County, New Hampshire, United States","(43.2942, -72.260513)"
5525,"East Derry, NH, USA","East Derry, Derry, Rockingham County, New Hampshire, 03038, United States","(42.8945312, -71.2911738)"
5526,"Whitefield, NH, USA","Whitefield, Coos County, New Hampshire, United States","(44.3730577, -71.6118577)"
5527,"Jackson, NH, USA","Jackson, Carroll County, New Hampshire, 03846, United States","(44.144276, -71.181107)"
5528,"Bristol, NH, USA","Bristol, Grafton County, New Hampshire, 03222, United States","(43.591333, -71.737289)"
5529,"Winchester, NH, USA","Winchester, Cheshire County, New Hampshire, United States","(42.776627, -72.38783997667021)"
5530,"Rollingsford, NH, USA","Rollingsford Drive, Ridgeline Manor, Black Jack, Saint Louis County, Missouri, 63033, United States","(38.7890232, -90.2667388)"
5531,"Groton, NH, USA","Groton, Grafton County, New Hampshire, United States","(43.702133, -71.836166)"
5532,"South Acworth, NH, USA","South Acworth, Acworth, Sullivan County, New Hampshire, 03601, United States","(43.1909099, -72.2853647)"
5533,"Brookline, NH, USA","Brookline, Hillsborough County, New Hampshire, 03033, United States","(42.7348102, -71.6581267)"
5534,"North Woodstock, NH, USA","North Woodstock, Woodstock, Grafton County, New Hampshire, 03262, United States","(44.0303449, -71.6859143)"
5535,"Center Barnstead, NH, USA","Center Barnstead, Barnstead, Belknap County, New Hampshire, 03218, United States","(43.339247, -71.2595107)"
5536,"North Walpole, NH, USA","North Walpole, Walpole, Cheshire County, New Hampshire, 03609, United States","(43.1389666, -72.448144)"
5537,"Melvin Village, NH, USA","Melvin Village, Tuftonboro, Carroll County, New Hampshire, 03850, United States","(43.6889651, -71.304237)"
5538,"Middleton, NH, USA","Middleton, Strafford County, New Hampshire, 03887, United States","(43.474797699999996, -71.06738756793492)"
5539,"Cornish Flat, NH, USA","Cornish Flat, Cornish, Sullivan County, New Hampshire, 03746, United States","(43.4972941, -72.279535)"
5540,"W. Antrim, NH, USA","Bridle Road West, Antrim, Hillsborough County, New Hampshire, 03440, United States","(43.065744, -71.950041)"
5541,"Salem, NH, USA","Salem, Rockingham County, New Hampshire, United States","(42.7884226, -71.2008933)"
5542,"North Haverhill, NH, USA","North Haverhill, Haverhill, Grafton County, New Hampshire, 03774, United States","(44.0898696, -72.025935)"
5543,"Eaton Center, NH, USA","Eaton Center, Eaton, Carroll County, New Hampshire, 03832, United States","(43.9100753, -71.080976)"
5544,"Eaton, NH, USA","Eaton, Carroll County, New Hampshire, 03832, United States","(43.915365, -71.04532095775633)"
5545,"Waterville Valley, NH, USA","Waterville Valley, Grafton County, New Hampshire, 03215, United States","(43.950316, -71.49971)"
5546,"Center Ossipee, NH, USA","Center Ossipee, Ossipee, Carroll County, New Hampshire, 03814, United States","(43.7550761, -71.1520128)"
5547,"Epsom, NH, USA","Epsom, Merrimack County, New Hampshire, 03234, United States","(43.223191, -71.332169)"
5548,"Atkinson, NH, USA","Atkinson, Rockingham County, New Hampshire, United States","(42.8384221, -71.1470037)"
5549,"Troy, NH, USA","Troy, Cheshire County, New Hampshire, 03465, United States","(42.823972, -72.1811944)"
5550,"Sugar Hill, NH, USA","Sugar Hill, Grafton County, New Hampshire, 03586, United States","(44.2156804, -71.7972672)"
5551,"East Hampstead, NH, USA","East Hampstead, Hampstead, Rockingham County, New Hampshire, 03826, United States","(42.8910542, -71.1425197)"
5552,"Shelburne, NH, USA","Shelburne, Coos County, New Hampshire, United States","(44.401411, -71.075363)"
5553,"Ashland, NH, USA","Ashland, Grafton County, New Hampshire, United States","(43.69568, -71.630859)"
5554,"Errol, NH, USA","Errol, Coos County, New Hampshire, United States","(44.781835, -71.138535)"
5555,"Surry, NH, USA","Surry, Cheshire County, New Hampshire, United States","(43.0178575, -72.3211975)"
5556,"Sandwich, NH, USA","Sandwich, Carroll County, New Hampshire, 03259, United States","(43.790428, -71.411819)"
5557,"Franklin, NH, USA","Franklin, Merrimack County, New Hampshire, 03235, United States","(43.4442432, -71.6472988)"
5558,"East Andover, NH, USA","East Andover, Andover, Merrimack County, New Hampshire, 03231, United States","(43.4595199, -71.747579)"
5559,"W. Chesterfield, NH, USA","West Chesterfield, Chesterfield, Cheshire County, New Hampshire, 03466, United States","(42.9042482, -72.5156447)"
5560,"Wentworth, NH, USA","Wentworth, Grafton County, New Hampshire, 03282, United States","(43.8724198, -71.9130828)"
5561,"Pike, NH, USA","Pike, Haverhill, Grafton County, New Hampshire, 03765, United States","(44.0308991, -72.0081433)"
5562,"Landaff, NH, USA","Landaff, Grafton County, New Hampshire, United States","(44.1753318, -71.8875091)"
5563,"Plymoth, NH, USA","Plymoth Hill, Sunset Acres, Greeneville, Greene County, Tennessee, 37744, United States","(36.1472611, -82.8507949)"
5564,"North Chatham, NH, USA","North Chatham, Chatham, Carroll County, New Hampshire, United States","(44.2408977, -71.0166395)"
5565,"Freedom, NH, USA","Freedom, Carroll County, New Hampshire, 03836, United States","(43.812729, -71.036224)"
5566,"Lyme Ctr, NH, USA","Lyme Center, Lyme, Grafton County, New Hampshire, 03769, United States","(43.7992092, -72.1226735)"
5567,"Stratford, NH, USA","Stratford, Coos County, New Hampshire, 03590, United States","(44.655466, -71.556015)"
5568,"Roxbury, NH, USA","Roxbury, Cheshire County, New Hampshire, United States","(42.953585000000004, -72.19648924474737)"
5569,"Meridan, NH, USA","Meridan Hill Road, Columbia, Coos County, New Hampshire, United States","(44.7907152, -71.5696643)"
5570,"New Ipswitch, NH, USA",,
5571,"Bethelhem, NH, USA","New Bethelhem Church Road, Twiggs County, Georgia, United States","(32.643135, -83.516671)"
5572,"West Ossipee, NH, USA","West Ossipee, Ossipee, Carroll County, New Hampshire, 03890, United States","(43.8247967, -71.2047919)"
5573,"Langdon, NH, USA","Langdon, Sullivan County, New Hampshire, United States","(43.167126, -72.37999)"
5574,"MIlford, NH, USA","Milford, Hillsborough County, New Hampshire, United States","(42.8355775, -71.6495345)"
5575,"Washington, NH, USA","Washington, Sullivan County, New Hampshire, 03280, United States","(43.17614, -72.097092)"
5576,"Gilsum, NH, USA","Gilsum, Cheshire County, New Hampshire, 03448, United States","(43.0484123, -72.2628635)"
5577,"Albany, NH, USA","Albany, Carroll County, New Hampshire, 03818, United States","(43.982413550000004, -71.26019330609236)"
5578,"Penacook, NH, USA","Penacook, Concord, Merrimack County, New Hampshire, 03303, United States","(43.2803491, -71.6000058)"
5579,"Bethelem, NH, USA","Bethelem Road, Whitefield, Coos County, New Hampshire, United States","(44.327395, -71.650731)"
5580,"Rye Beach, NH, USA","Rye Beach Village District, Rye, Rockingham County, New Hampshire, 03871, United States","(42.9772866, -70.7696039)"
5581,"Elkins, NH, USA","Elkins, New London, Merrimack County, New Hampshire, 03287, United States","(43.4209083, -71.937305)"
5582,"Woodstock, NH, USA","Woodstock, Grafton County, New Hampshire, 03262, United States","(43.9775681, -71.6850802)"
5583,"West Unity, NH, USA","West Unity, Unity, Sullivan County, New Hampshire, United States","(43.2881306, -72.316477)"
5584,"Sanbornville, NH, USA","Sanbornville, Wakefield, Carroll County, New Hampshire, 03872, United States","(43.554246, -71.0308988)"
5585,"Guild, NH, USA","Guild, Newport, Sullivan County, New Hampshire, 03773, United States","(43.3767411, -72.1381421)"
5586,"S Sutton, NH, USA","South Sutton, Sutton, Merrimack County, New Hampshire, 03273, United States","(43.3200762, -71.9342488)"
5587,"Easton, NH, USA","Easton, Grafton County, New Hampshire, United States","(44.1475343, -71.7891666)"
5588,"Lisbon, NH, USA","Lisbon, Grafton County, New Hampshire, 03585, United States","(44.2135187, -71.9107884)"
5589,"So Tamworth, NH, USA",,
5590,"Moultonboro, NH, USA","Moultonboro Airport, Whittier Highway, Moultonborough, Carroll County, New Hampshire, 03227, United States","(43.766944249999995, -71.38711111575716)"
5591,"Haverhill, NH, USA","Haverhill, Grafton County, New Hampshire, United States","(44.0342717, -72.0634434)"
5592,"South Sutton, NH, USA","South Sutton, Sutton, Merrimack County, New Hampshire, 03273, United States","(43.3200762, -71.9342488)"
5593,"Sharon, NH, USA","Sharon, Hillsborough County, New Hampshire, United States","(42.8131405, -71.9156337)"
5594,"Ctr Conway, NH, USA","Center Conway, Conway, Carroll County, New Hampshire, 03813, United States","(43.9947926, -71.0609026)"
5595,"N Sandwich, NH, USA","North Sandwich, Sandwich, Carroll County, New Hampshire, 03259, United States","(43.8406282, -71.3970176)"
5596,"Northumberland, NH, USA","Northumberland, Coos County, New Hampshire, United States","(44.5638732, -71.5579675)"
5597,"Sanborton, NH, USA","Sanborton Country Store, New Hampton Road, Gaza, Sanbornton, Belknap County, New Hampshire, 03269, United States","(43.4967814, -71.6325354)"
5598,"Hillsboro, NH, USA","Hillsboro, Hillsborough, Hillsborough County, New Hampshire, 03244, United States","(43.1148019, -71.8950798)"
5599,"South Tamworth, NH, USA","South Tamworth, Tamworth, Carroll County, New Hampshire, 03883, United States","(43.8247961, -71.3031268)"
5600,"Greenville, NH, USA","Greenville, Hillsborough County, New Hampshire, United States","(42.7673087, -71.8122977)"
5601,"Rollinsford, NH, USA","Rollinsford, Strafford County, New Hampshire, 03869, United States","(43.236199, -70.820618)"
5602,"N. Sandwich, NH, USA","North Sandwich, Sandwich, Carroll County, New Hampshire, 03259, United States","(43.8406282, -71.3970176)"
5603,"New Castle, NH, USA","New Castle, Rockingham County, New Hampshire, 03854, United States","(43.063852499999996, -70.72136388779049)"
5604,"Ctr Sandwich, NH, USA","Center Sandwich, Sandwich, Carroll County, New Hampshire, United States","(43.8075729, -71.4392404)"
5605,"Wentworths Location, NH, USA",,
5606,"Enfield Center, NH, USA","Enfield Center, Enfield, Grafton County, New Hampshire, 03749, United States","(43.5900723, -72.1109204)"
5607,"East Hampton, NH, USA","East Cemetery, North Hampton, Rockingham County, New Hampshire, United States","(42.9640288, -70.79783647393867)"
5608,"Union, NH, USA","Union, Wakefield, Carroll County, New Hampshire, 03887, United States","(43.4914691, -71.0231206)"
5609,"Randoph, NH, USA",,
5610,"Clarkesville, NH, USA","Clarkesville, Habersham County, Georgia, United States","(34.6125971, -83.5248933)"
5611,"Gonic, NH, USA","Gonic, Rochester, Strafford County, New Hampshire, 03839, United States","(43.2748308, -70.9787931)"
5612,"Swanzy, NH, USA","Swanzy Factory Road, South Keene, Keene, Cheshire County, New Hampshire, 03435, United States","(42.914224, -72.249697)"
5613,"E. Conway, NH, USA","East Conway, Conway, Carroll County, New Hampshire, 03813, United States","(44.0225697, -71.0053467)"
5614,"-1, NH, USA","#1, Rochester, Strafford County, New Hampshire, United States","(43.2678068, -70.97751852512195)"
5615,"Lincoln, NH, USA","Lincoln, Grafton County, New Hampshire, 03251, United States","(44.0457502, -71.6705978)"
5616,"East Conway, NH, USA","East Conway, Conway, Carroll County, New Hampshire, 03813, United States","(44.0225697, -71.0053467)"
5617,"N. Woodstock, NH, USA","North Woodstock, Woodstock, Grafton County, New Hampshire, 03262, United States","(44.0303449, -71.6859143)"
5618,"No. Hampton, NH, USA",,
5619,"Ctr Ossipee, NH, USA","Center Ossipee, Ossipee, Carroll County, New Hampshire, 03814, United States","(43.7550761, -71.1520128)"
5620,"Bretton Woods, NH, USA","Bretton Woods, Carroll, Coos County, New Hampshire, 03575, United States","(44.2576311, -71.4413006)"
5621,"Newport, RI, USA","Newport, Newport County, Rhode Island, United States","(41.4899827, -71.3137707)"
5622,"Narragansett, RI, USA","Narragansett, South County, Rhode Island, United States","(41.4501021, -71.4495005)"
5623,"Providence, RI, USA","Providence, Providence County, Rhode Island, United States","(41.8239891, -71.4128343)"
5624,"Little Compton, RI, USA","Little Compton, Newport County, Rhode Island, 02837, United States","(41.5101085, -71.1711648)"
5625,"Middletown, RI, USA","Middletown, Newport County, Rhode Island, United States","(41.5456578, -71.2914388)"
5626,"Cranston, RI, USA","Cranston, Providence County, Rhode Island, United States","(41.7809588, -71.4371257)"
5627,"Exeter, RI, USA","Exeter, South County, Rhode Island, 02822, United States","(41.5774793, -71.5376881)"
5628,"Foster, RI, USA","Foster, Providence County, Rhode Island, 02825, United States","(41.8537098, -71.7581249)"
5629,"Tiverton, RI, USA","Tiverton, Newport County, Rhode Island, 02878, United States","(41.6257406, -71.166333)"
5630,"Block Island, RI, USA","Block Island, New Shoreham, South County, Rhode Island, United States","(41.18934655, -71.56780282769239)"
5631,"Scituate, RI, USA","Scituate, Providence County, Rhode Island, United States","(41.7851126, -71.611035)"
5632,"Riverside, RI, USA","Riverside, East Providence, Providence County, Rhode Island, 02915, United States","(41.7673231, -71.3647759)"
5633,"North Smithfield, RI, USA","North Smithfield, Providence County, Rhode Island, United States","(41.9667652, -71.5495071)"
5634,"South Kingstown, RI, USA","South Kingstown, South County, Rhode Island, United States","(41.454944, -71.5394738)"
5635,"West Kingston, RI, USA","West Kingston, South Kingstown, South County, Rhode Island, 02881, United States","(41.4831567, -71.5514497)"
5636,"Johnston, RI, USA","Johnston, Providence County, Rhode Island, United States","(41.8310404, -71.5412101)"
5637,"Wakefield, RI, USA","Wakefield, South Kingstown, South County, Rhode Island, 02879, United States","(41.437324, -71.5014469)"
5638,"Portsmouth, RI, USA","Portsmouth, Newport County, Rhode Island, United States","(41.6024068, -71.2503157)"
5639,"North Kingstown, RI, USA","North Kingstown, South County, Rhode Island, United States","(41.5514283, -71.4693875)"
5640,"Charlestown, RI, USA","Charlestown, South County, Rhode Island, 02813, United States","(41.3831566, -71.641729)"
5641,"Warren, RI, USA","Warren, Bristol County, Rhode Island, 02885, United States","(41.7303794, -71.2825494)"
5642,"Jamestown, RI, USA","Jamestown, Newport County, Rhode Island, 02835, United States","(41.4970465, -71.3672755)"
5643,"Warwick, RI, USA","Warwick, Kent County, Rhode Island, United States","(41.7002024, -71.4161108)"
5644,"East Greenwich, RI, USA","East Greenwich, Kent County, Rhode Island, 02818, United States","(41.6603788, -71.4558911)"
5645,"Saunderstown, RI, USA","Saunderstown, North Kingstown, South County, Rhode Island, 02874, United States","(41.5078795, -71.4245004)"
5646,"Cumberland, RI, USA","Cumberland, Providence County, Rhode Island, 02864, United States","(41.9667656, -71.4328363)"
5647,"Barrington, RI, USA","Barrington, Bristol County, Rhode Island, 02806, United States","(41.7407661, -71.3084633)"
5648,"Pawtucket, RI, USA","Pawtucket, Providence County, Rhode Island, United States","(41.878711, -71.3825558)"
5649,"Westerly, RI, USA","Westerly, South County, Rhode Island, United States","(41.3775996, -71.8272911)"
5650,"East Providence, RI, USA","East Providence, Providence County, Rhode Island, United States","(41.8137116, -71.3700545)"
5651,"Coventry, RI, USA","Coventry, Kent County, Rhode Island, United States","(41.7000996, -71.6828444)"
5652,"Smithfield, RI, USA","Smithfield, Providence County, Rhode Island, United States","(41.9220433, -71.549507)"
5653,"Bristol, RI, USA","Bristol, Bristol County, Rhode Island, 02809, United States","(41.6770463, -71.2661597)"
5654,"Lincoln, RI, USA","Lincoln, Providence County, Rhode Island, United States","(41.9529237, -71.4663863)"
5655,"Hopkinton, RI, USA","Hopkinton, South County, Rhode Island, United States","(41.4594366, -71.7803046)"
5656,"Glocester, RI, USA","Glocester, Providence County, Rhode Island, United States","(41.910429, -71.7176367)"
5657,"Richmond, RI, USA","Richmond, South County, Rhode Island, United States","(41.4998322, -71.660263)"
5658,"West Greenwich, RI, USA","West Greenwich, Kent County, Rhode Island, 02817, United States","(41.6226185, -71.6657892)"
5659,"Burrillville, RI, USA","Burrillville, Providence County, Rhode Island, United States","(41.9699753, -71.6977885)"
5660,"North smithfield, RI, USA","North Smithfield, Providence County, Rhode Island, United States","(41.9667652, -71.5495071)"
5661,"North Providence, RI, USA","North Providence, Providence County, Rhode Island, 02911, United States","(41.8500997, -71.4661703)"
5662,"West Warwick, RI, USA","West Warwick, Kent County, Rhode Island, 02893, United States","(41.7063679, -71.5236633)"
5663,"Richmond/Hopkinton, RI, USA","Richmond Police Department, Main Street, Wyoming, Richmond, South County, Rhode Island, 02832, United States","(41.5151199, -71.7034328)"
5664,"West warwick, RI, USA","West Warwick, Kent County, Rhode Island, 02893, United States","(41.7063679, -71.5236633)"
5665,"East greenwich, RI, USA","East Greenwich, Kent County, Rhode Island, 02818, United States","(41.6603788, -71.4558911)"
5666,"Woonsocket, RI, USA","Woonsocket, Providence County, Rhode Island, 02895, United States","(42.0028761, -71.5147839)"
5667,"Charlestown/Richmond, RI, USA","Charlestown-Richmond Fire Department, Shannock Road, Columbia Heights, Charlestown, South County, Rhode Island, 02875, United States","(41.4475, -71.6349)"
5668,"Foster/Scituate, RI, USA","Plainfield Pike, Clayville, Scituate, Providence County, Rhode Island, 02815, United States","(41.772003, -71.694557)"
5669,"Kingston, RI, USA","Kingston, South Kingstown, South County, Rhode Island, 02881, United States","(41.4729285, -71.52234712149811)"
5670,"Wellesley, RI, USA","Wellesley Avenue, Pawtucket, Providence County, Rhode Island, 02916-2068, United States","(41.8640387, -71.3662175)"
5671,"Central Falls, RI, USA","Central Falls, Providence County, Rhode Island, United States","(41.8906553, -71.3922785)"
5672,"westerly, RI, USA","Westerly, South County, Rhode Island, United States","(41.3775996, -71.8272911)"
5673,"North Scituate, RI, USA","North Scituate, Scituate, Providence County, Rhode Island, United States","(41.8317661, -71.5872858)"
5674,"Greenville, RI, USA","Greenville, Smithfield, Providence County, Rhode Island, 02828, United States","(41.886476, -71.55374635211268)"
5675,"warwick, RI, USA","Warwick, Kent County, Rhode Island, United States","(41.7002024, -71.4161108)"
5676,"woonsocket, RI, USA","Woonsocket, Providence County, Rhode Island, 02895, United States","(42.0028761, -71.5147839)"
5677,"Hope Valley, RI, USA","Hope Valley, Hopkinton, South County, Rhode Island, 02832, United States","(41.5099805, -71.7196158305)"
5678,"Peacedale, RI, USA","Peacedale, South Kingstown, South County, Rhode Island, 02879, United States","(41.4512129, -71.4986694)"
5679,"Gloucester, RI, USA","Gloucester Street, Warwick, Kent County, Rhode Island, 02886, United States","(41.716986, -71.459083)"
5680,"Burriville, RI, USA",,
5681,"Wyoming, RI, USA","Wyoming, Richmond, South County, Rhode Island, 02832, United States","(41.5153203, -71.7017627)"
5682,"Adamsville, RI, USA","Adamsville, Little Compton, Newport County, Rhode Island, United States","(41.5545477, -71.131155)"
5683,"Rumford, RI, USA","Rumford, Providence County, Rhode Island, 02916, United States","(41.8453781, -71.3519985)"
5684,"Putnam, RI, USA","Putnam Pike, Johnston, Providence County, Rhode Island, 02911, United States","(41.859871, -71.488884)"
5685,"West Kingstown, RI, USA","West Kingston, South Kingstown, South County, Rhode Island, 02881, United States","(41.4831567, -71.5514497)"
5686,"North Kingsown, RI, USA",,
5687,"Chepachet, RI, USA","Chepachet, Glocester, Providence County, Rhode Island, 02814, United States","(41.9150997, -71.6714586)"
5688,"Carolina, RI, USA","Carolina, Richmond, South County, Rhode Island, 02812, United States","(41.4638833, -71.6616008)"
5689,"Block island, RI, USA","Block Island, New Shoreham, South County, Rhode Island, United States","(41.18934655, -71.56780282769239)"
5690,"Norh Kingstown, RI, USA",,
5691,"Shannock, RI, USA","Shannock, Richmond, South County, Rhode Island, 02875, United States","(41.4484339, -71.63673)"
5692,"jamestown, RI, USA","Jamestown, Newport County, Rhode Island, 02835, United States","(41.4970465, -71.3672755)"
5693,"Little Comtpon, RI, USA",,
5694,"Peace Dale, RI, USA","Peace Dale Pond Dam, Peacedale, South Kingstown, South County, Rhode Island, 02879, United States","(41.4517685, -71.4945025)"
5695,"Esmond, RI, USA","Esmond, Smithfield, Providence County, Rhode Island, 02919, United States","(41.8723216, -71.4945049)"
5696,"Ashaway, RI, USA","Ashaway, Hopkinton, South County, Rhode Island, 02804, United States","(41.4270875, -71.78424006690953)"
5697,"Hope, RI, USA","Hope, Scituate, Providence County, Rhode Island, 02823, United States","(41.7334334, -71.5625625)"
5698,"Greene, RI, USA","Greene, Coventry, Kent County, Rhode Island, 02827, United States","(41.6912104, -71.7459022)"
5699,"Prudence Island, RI, USA","Prudence Island, Portsmouth, Newport County, Rhode Island, United States","(41.622885100000005, -71.31622399995668)"
5700,"New Shoreham, RI, USA","New Shoreham, South County, Rhode Island, United States","(41.1721507, -71.5588201)"
5701,"Woodsocket, RI, USA",,
5702,"Clayville, RI, USA","Clayville, Scituate, Providence County, Rhode Island, 02815, United States","(41.7778772, -71.6756221)"
5703,"Slocum, RI, USA","Slocum, North Kingstown, South County, Rhode Island, 02877, United States","(41.5306567, -71.5161711)"
5704,"BRadford, RI, USA","Bradford, Westerly, South County, Rhode Island, 02808, United States","(41.393642, -71.74087164205544)"
5705,"East Greenwhich, RI, USA",,
5706,"Bradford, RI, USA","Bradford, Westerly, South County, Rhode Island, 02808, United States","(41.393642, -71.74087164205544)"
5707,"Porstmouth, RI, USA",,
5708,"Centerdale, RI, USA","Centerdale, North Providence, Providence County, Rhode Island, 02911, United States","(41.8564885, -71.4786709)"
5709,"South kingstown, RI, USA","South Kingstown, South County, Rhode Island, United States","(41.454944, -71.5394738)"
5710,"Portmouth, RI, USA",,
5711,"Manville, RI, USA","Manville, Lincoln, Providence County, Rhode Island, 02838, United States","(41.9698209, -71.4736712)"
5712,"Porthsmouth, RI, USA",,
5713,"Edgewood, RI, USA","Edgewood, Cranston, Providence County, Rhode Island, 02905, United States","(41.7814895, -71.3975555)"
5714,"Narragansett , RI, USA","Narragansett, South County, Rhode Island, United States","(41.4501021, -71.4495005)"
5715,"North Kingston, RI, USA","Old North Road, Kingston, South Kingstown, South County, Rhode Island, 02881, United States","(41.4811535, -71.5221569)"
5716,"Providence , RI, USA","Providence, Providence County, Rhode Island, United States","(41.8239891, -71.4128343)"
5717,"Clayville , RI, USA","Clayville, Scituate, Providence County, Rhode Island, 02815, United States","(41.7778772, -71.6756221)"
5718,"Peace Dale , RI, USA","Peace Dale Pond Dam, Peacedale, South Kingstown, South County, Rhode Island, 02879, United States","(41.4517685, -71.4945025)"
5719,"Providene, RI, USA",,
5720,"Scituate , RI, USA","Scituate, Providence County, Rhode Island, United States","(41.7851126, -71.611035)"
5721,"Wakefield , RI, USA","Wakefield, South Kingstown, South County, Rhode Island, 02879, United States","(41.437324, -71.5014469)"
5722,"East Greenwich , RI, USA","East Greenwich, Kent County, Rhode Island, 02818, United States","(41.6603788, -71.4558911)"
5723,"Warwick , RI, USA","Warwick, Kent County, Rhode Island, United States","(41.7002024, -71.4161108)"
5724,"Cranston , RI, USA","Cranston, Providence County, Rhode Island, United States","(41.7809588, -71.4371257)"
5725,"Westerly , RI, USA","Westerly, South County, Rhode Island, United States","(41.3775996, -71.8272911)"
5726,"Wood River Junction, RI, USA","Wood River Junction, Richmond, South County, Rhode Island, 02894, United States","(41.4362113, -71.6945097)"
5727,"Little Comton, RI, USA",,
5728,"Charleston, RI, USA","Charleston Lane, Hillside, Baton Rouge, East Baton Rouge Parish, Louisiana, 70808, United States","(30.3857256, -91.1132017)"
5729,"Peace DAle, RI, USA","Peace Dale Pond Dam, Peacedale, South Kingstown, South County, Rhode Island, 02879, United States","(41.4517685, -71.4945025)"
5730,"Oakland, RI, USA","Oakland, Mapleville, Burrillville, Providence County, Rhode Island, 02858, United States","(41.9573206, -71.6478436)"
5731,"Watch Hill, RI, USA","Watch Hill, Westerly, South County, Rhode Island, United States","(41.3137109, -71.8497909)"
5732,"Chapachet, RI, USA",,
5733,"Hopkington, RI, USA",,
5734,"N. Scituate, RI, USA","North Scituate, Scituate, Providence County, Rhode Island, United States","(41.8317661, -71.5872858)"
5735,"wakefield, RI, USA","Wakefield, South Kingstown, South County, Rhode Island, 02879, United States","(41.437324, -71.5014469)"
